CODE	Leftmost	Topmost	Rightmost	Bottommost	Offset_Y	U_COORD_1	V_COORD_1	U_COORD_2	V_COORD_2	U_COORD_3	V_COORD_3	U_COORD_4	V_COORD_4	U_COORD_5	V_COORD_5	U_COORD_6	V_COORD_6
32	0	0	20	37	0	0.0	0.037109375	0.0	0.0	0.041015625	0.0	0.0	0.037109375	0.041015625	0.037109375	0.041015625	0.0
33	58	6	62	32	2	0.11328125	0.03125	0.11328125	0.005859375	0.12109375	0.005859375	0.11328125	0.03125	0.12109375	0.03125	0.12109375	0.005859375
34	89	6	100	14	2	0.173828125	0.013671875	0.173828125	0.005859375	0.1953125	0.005859375	0.173828125	0.013671875	0.1953125	0.013671875	0.1953125	0.005859375
35	106	8	125	32	4	0.20703125	0.03125	0.20703125	0.0078125	0.244140625	0.0078125	0.20703125	0.03125	0.244140625	0.03125	0.244140625	0.0078125
36	141	4	158	36	0	0.275390625	0.03515625	0.275390625	0.00390625	0.30859375	0.00390625	0.275390625	0.03515625	0.30859375	0.03515625	0.30859375	0.00390625
37	174	5	193	32	1	0.33984375	0.03125	0.33984375	0.0048828125	0.376953125	0.0048828125	0.33984375	0.03125	0.376953125	0.03125	0.376953125	0.0048828125
38	209	6	227	32	2	0.408203125	0.03125	0.408203125	0.005859375	0.443359375	0.005859375	0.408203125	0.03125	0.443359375	0.03125	0.443359375	0.005859375
39	250	6	254	14	2	0.48828125	0.013671875	0.48828125	0.005859375	0.49609375	0.005859375	0.48828125	0.013671875	0.49609375	0.013671875	0.49609375	0.005859375
40	281	5	291	39	1	0.548828125	0.0380859375	0.548828125	0.0048828125	0.568359375	0.0048828125	0.548828125	0.0380859375	0.568359375	0.0380859375	0.568359375	0.0048828125
41	315	5	325	39	1	0.615234375	0.0380859375	0.615234375	0.0048828125	0.634765625	0.0048828125	0.615234375	0.0380859375	0.634765625	0.0380859375	0.634765625	0.0048828125
42	347	6	361	21	2	0.677734375	0.0205078125	0.677734375	0.005859375	0.705078125	0.005859375	0.677734375	0.0205078125	0.705078125	0.0205078125	0.705078125	0.005859375
43	380	13	397	31	9	0.7421875	0.0302734375	0.7421875	0.0126953125	0.775390625	0.0126953125	0.7421875	0.0302734375	0.775390625	0.0302734375	0.775390625	0.0126953125
44	417	26	426	38	22	0.814453125	0.037109375	0.814453125	0.025390625	0.83203125	0.025390625	0.814453125	0.037109375	0.83203125	0.037109375	0.83203125	0.025390625
45	451	20	462	23	16	0.880859375	0.0224609375	0.880859375	0.01953125	0.90234375	0.01953125	0.880859375	0.0224609375	0.90234375	0.0224609375	0.90234375	0.01953125
46	488	26	494	32	-39	0.953125	0.03125	0.953125	0.025390625	0.96484375	0.025390625	0.953125	0.03125	0.96484375	0.03125	0.96484375	0.025390625
47	5	65	20	95	0	0.009765625	0.0927734375	0.009765625	0.0634765625	0.0390625	0.0634765625	0.009765625	0.0927734375	0.0390625	0.0927734375	0.0390625	0.0634765625
48	39	67	56	91	2	0.076171875	0.0888671875	0.076171875	0.0654296875	0.109375	0.0654296875	0.076171875	0.0888671875	0.109375	0.0888671875	0.109375	0.0654296875
49	74	67	89	91	2	0.14453125	0.0888671875	0.14453125	0.0654296875	0.173828125	0.0654296875	0.14453125	0.0888671875	0.173828125	0.0888671875	0.173828125	0.0654296875
50	108	67	124	91	2	0.2109375	0.0888671875	0.2109375	0.0654296875	0.2421875	0.0654296875	0.2109375	0.0888671875	0.2421875	0.0888671875	0.2421875	0.0654296875
51	142	67	158	91	2	0.27734375	0.0888671875	0.27734375	0.0654296875	0.30859375	0.0654296875	0.27734375	0.0888671875	0.30859375	0.0888671875	0.30859375	0.0654296875
52	174	67	193	91	2	0.33984375	0.0888671875	0.33984375	0.0654296875	0.376953125	0.0654296875	0.33984375	0.0888671875	0.376953125	0.0888671875	0.376953125	0.0654296875
53	211	67	226	91	2	0.412109375	0.0888671875	0.412109375	0.0654296875	0.44140625	0.0654296875	0.412109375	0.0888671875	0.44140625	0.0888671875	0.44140625	0.0654296875
54	244	67	261	91	2	0.4765625	0.0888671875	0.4765625	0.0654296875	0.509765625	0.0654296875	0.4765625	0.0888671875	0.509765625	0.0888671875	0.509765625	0.0654296875
55	278	67	294	91	2	0.54296875	0.0888671875	0.54296875	0.0654296875	0.57421875	0.0654296875	0.54296875	0.0888671875	0.57421875	0.0888671875	0.57421875	0.0654296875
56	313	67	329	91	2	0.611328125	0.0888671875	0.611328125	0.0654296875	0.642578125	0.0654296875	0.611328125	0.0888671875	0.642578125	0.0888671875	0.642578125	0.0654296875
57	346	67	363	91	2	0.67578125	0.0888671875	0.67578125	0.0654296875	0.708984375	0.0654296875	0.67578125	0.0888671875	0.708984375	0.0888671875	0.708984375	0.0654296875
58	386	72	392	91	7	0.75390625	0.0888671875	0.75390625	0.0703125	0.765625	0.0703125	0.75390625	0.0888671875	0.765625	0.0888671875	0.765625	0.0703125
59	418	72	426	97	7	0.81640625	0.0947265625	0.81640625	0.0703125	0.83203125	0.0703125	0.81640625	0.0947265625	0.83203125	0.0947265625	0.83203125	0.0703125
60	450	71	464	91	6	0.87890625	0.0888671875	0.87890625	0.0693359375	0.90625	0.0693359375	0.87890625	0.0888671875	0.90625	0.0888671875	0.90625	0.0693359375
61	483	76	499	85	-48	0.943359375	0.0830078125	0.943359375	0.07421875	0.974609375	0.07421875	0.943359375	0.0830078125	0.974609375	0.0830078125	0.974609375	0.07421875
62	7	130	21	150	6	0.013671875	0.146484375	0.013671875	0.126953125	0.041015625	0.126953125	0.013671875	0.146484375	0.041015625	0.146484375	0.041015625	0.126953125
63	42	124	54	150	0	0.08203125	0.146484375	0.08203125	0.12109375	0.10546875	0.12109375	0.08203125	0.146484375	0.10546875	0.146484375	0.10546875	0.12109375
64	71	124	91	158	0	0.138671875	0.154296875	0.138671875	0.12109375	0.177734375	0.12109375	0.138671875	0.154296875	0.177734375	0.154296875	0.177734375	0.12109375
65	105	126	125	150	2	0.205078125	0.146484375	0.205078125	0.123046875	0.244140625	0.123046875	0.205078125	0.146484375	0.244140625	0.146484375	0.244140625	0.123046875
66	142	126	158	150	2	0.27734375	0.146484375	0.27734375	0.123046875	0.30859375	0.123046875	0.27734375	0.146484375	0.30859375	0.146484375	0.30859375	0.123046875
67	175	126	192	150	2	0.341796875	0.146484375	0.341796875	0.123046875	0.375	0.123046875	0.341796875	0.146484375	0.375	0.146484375	0.375	0.123046875
68	209	126	227	150	2	0.408203125	0.146484375	0.408203125	0.123046875	0.443359375	0.123046875	0.408203125	0.146484375	0.443359375	0.146484375	0.443359375	0.123046875
69	246	126	259	150	2	0.48046875	0.146484375	0.48046875	0.123046875	0.505859375	0.123046875	0.48046875	0.146484375	0.505859375	0.146484375	0.505859375	0.123046875
70	280	126	293	150	2	0.546875	0.146484375	0.546875	0.123046875	0.572265625	0.123046875	0.546875	0.146484375	0.572265625	0.146484375	0.572265625	0.123046875
71	311	126	329	151	2	0.607421875	0.1474609375	0.607421875	0.123046875	0.642578125	0.123046875	0.607421875	0.1474609375	0.642578125	0.1474609375	0.642578125	0.123046875
72	346	126	363	150	2	0.67578125	0.146484375	0.67578125	0.123046875	0.708984375	0.123046875	0.67578125	0.146484375	0.708984375	0.146484375	0.708984375	0.123046875
73	382	126	396	150	2	0.74609375	0.146484375	0.74609375	0.123046875	0.7734375	0.123046875	0.74609375	0.146484375	0.7734375	0.146484375	0.7734375	0.123046875
74	416	126	429	150	2	0.8125	0.146484375	0.8125	0.123046875	0.837890625	0.123046875	0.8125	0.146484375	0.837890625	0.146484375	0.837890625	0.123046875
75	449	126	465	150	2	0.876953125	0.146484375	0.876953125	0.123046875	0.908203125	0.123046875	0.876953125	0.146484375	0.908203125	0.146484375	0.908203125	0.123046875
76	485	126	499	150	-57	0.947265625	0.146484375	0.947265625	0.123046875	0.974609375	0.123046875	0.947265625	0.146484375	0.974609375	0.146484375	0.974609375	0.123046875
77	4	185	23	209	2	0.0078125	0.2041015625	0.0078125	0.1806640625	0.044921875	0.1806640625	0.0078125	0.2041015625	0.044921875	0.2041015625	0.044921875	0.1806640625
78	39	185	56	209	2	0.076171875	0.2041015625	0.076171875	0.1806640625	0.109375	0.1806640625	0.076171875	0.2041015625	0.109375	0.2041015625	0.109375	0.1806640625
79	73	185	91	210	2	0.142578125	0.205078125	0.142578125	0.1806640625	0.177734375	0.1806640625	0.142578125	0.205078125	0.177734375	0.205078125	0.177734375	0.1806640625
80	109	185	124	209	2	0.212890625	0.2041015625	0.212890625	0.1806640625	0.2421875	0.1806640625	0.212890625	0.2041015625	0.2421875	0.2041015625	0.2421875	0.1806640625
81	141	185	160	216	2	0.275390625	0.2109375	0.275390625	0.1806640625	0.3125	0.1806640625	0.275390625	0.2109375	0.3125	0.2109375	0.3125	0.1806640625
82	177	185	193	209	2	0.345703125	0.2041015625	0.345703125	0.1806640625	0.376953125	0.1806640625	0.345703125	0.2041015625	0.376953125	0.2041015625	0.376953125	0.1806640625
83	210	185	226	210	2	0.41015625	0.205078125	0.41015625	0.1806640625	0.44140625	0.1806640625	0.41015625	0.205078125	0.44140625	0.205078125	0.44140625	0.1806640625
84	244	185	261	209	2	0.4765625	0.2041015625	0.4765625	0.1806640625	0.509765625	0.1806640625	0.4765625	0.2041015625	0.509765625	0.2041015625	0.509765625	0.1806640625
85	279	185	295	210	2	0.544921875	0.205078125	0.544921875	0.1806640625	0.576171875	0.1806640625	0.544921875	0.205078125	0.576171875	0.205078125	0.576171875	0.1806640625
86	311	185	331	209	2	0.607421875	0.2041015625	0.607421875	0.1806640625	0.646484375	0.1806640625	0.607421875	0.2041015625	0.646484375	0.2041015625	0.646484375	0.1806640625
87	346	185	365	209	2	0.67578125	0.2041015625	0.67578125	0.1806640625	0.712890625	0.1806640625	0.67578125	0.2041015625	0.712890625	0.2041015625	0.712890625	0.1806640625
88	380	185	399	209	2	0.7421875	0.2041015625	0.7421875	0.1806640625	0.779296875	0.1806640625	0.7421875	0.2041015625	0.779296875	0.2041015625	0.779296875	0.1806640625
